;web_page;url_logo;status
0;http://facebook.com;https://static.xx.fbcdn.net/rsrc.php/y8/r/dF5SId3UHWd.svg;1
1;http://twitter.com;https://abs.twimg.com/errors/logo46x38.png;1
2;http://ask.com;https://www.ask.com/wp-content/themes/ask-2022/assets/images/site-Logo.svg;1
4;http://go.com;https://static-mh.content.disney.io/matterhorn/assets/logos/disney_logo_dark-baa807690db7.png;1
5;http://indeed.com;https://d3fw5vlhllyvee.cloudfront.net/dist/header/ukraine_support.7ad2b5d444bc427dbc5d.png;1
8;http://directv.com;https://www.directv.com/dtvassets/global/logos/dtv/directv/directv_hz_rgb_rev.svg;1
10;http://surveymonkey.com;https://prod.smassets.net/assets/website/2.180.0/images/logo-surveymonkey.svg;1
13;http://aol.com;https://s.yimg.com/cv/apiv2/default/20190830/aol-logo.svg;1
19;http://lg.com;https://www.lg.com/lg5-common/images/common/header/logo-b2c.jpg;1
23;http://wix.com;https://static.wixstatic.com/media/311dce_1ce121f609e448f3882eba93e995f297~mv2.png/v1/fill/w_27,h_28,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/%F0%9F%87%BA%F0%9F%87%A6.png;1
25;http://dish.com;https://sc.dish.com/shared/images/station-logos/pac12.png;1
26;http://shareasale.com;https://www.shareasale.com/info/wp-content/uploads/2020/03/u178.svg;1
29;http://bizrate.com;https://s1.cnnx.io/creative_services/bizrate/jumbo/2013/10_october/BZ-131104DigitalCameraJumbo-00b.jpg;1
35;http://hubspot.com;https://www.hubspot.com/hubfs/SUI-Homepage-Header-Desktop@2x.png;1
37;http://skype.com;https://secure.skypeassets.com/content/dam/scom/images/logos/re1mu3b.png;1
40;http://reachlocal.com;https://www.reachlocal.com/sites/default/files/logo-white.png;1
44;http://rackspace.com;https://www.rackspace.com/sites/default/files/2020-11/gartner.jpg;1
47;http://spiceworks.com;https://pimages.toolbox.com/650x375/wp-content/uploads/2022/08/17161441/Digital-Accessibility-The-Right-Thing-To-Do-Is-Also-Good-For-Business.png;1
49;http://verticalresponse.com;https://verticalresponse.net/wp-content/uploads/2021/03/VRLogoTag.2C.png;1
51;http://zagg.com;https://www.zagg.com/static/version1659969189/frontend/zagg/master/en_US/Mageplaza_LazyLoading/mageplaza/lazyloading/loader.gif;1
55;http://formstack.com;https://assets-global.website-files.com/5e84fbb7a2e28dc5497c62f3/5f89c453ab7da01bba858ae2_element-formstack-dark-logo.svg;1
59;http://icontact.com;https://www.icontact.com/wp-content/uploads/icontact-logo-color-web-1.svg;1
62;http://avaya.com;https://www.avaya.com/static/avaya/assets/images/avaya-logo-vertical-white.png;1
63;http://bigcommerce.com;https://www-cdn.bigcommerce.com/assets/bc-logo-dark-SUPPORT-UKRAINE-opt.svg;1
64;http://yandex.ru;https://yastatic.net/s3/home-static/_/13/13f0b2d23a7039cba2b2955e782ff981.png;1
72;http://baidu.com;https://dss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/img/topnav/newfanyi-da0cea8f7e.png;1
76;http://sonymobile.com;https://d1ncau8tqf99kp.cloudfront.net/media/sony-logo-200.png;1
80;http://campusexplorer.com;https://www.campusexplorer.com/wp-content/uploads/2021/08/CampusExplorer_logo.png.svg;1
82;http://marinsoftware.com;https://assets-global.website-files.com/60ffbc3a211dee0d1874db96/62d87cf957fb8b4fadafb17a_m1-circle-color.svg;1
